;data;ora (UTC);valore;flag validazione;casta_mm;casta_flag
470;2018-11-20;15:00;2.7;0;0.0;Z
471;2018-11-20;16:00;2.8;0;0.0;Z
472;2018-11-20;17:00;2.5;0;0.0;Z
473;2018-11-20;18:00;2.4;0;0.0;Z
474;2018-11-20;19:00;1.9;0;0.0;Z
475;2018-11-20;20:00;2.3;0;0.0;Z
476;2018-11-20;21:00;2.7;0;0.0;Z
477;2018-11-20;22:00;2.7;0;0.0;Z
478;2018-11-20;23:00;2.5;0;0.0;Z
479;2018-11-21;00:00;2.5;0;0.0;Z
480;2018-11-21;01:00;2.3;0;0.0;Z
481;2018-11-21;02:00;1.5;0;0.0;Z
482;2018-11-21;03:00;1.5;0;0.0;Z
483;2018-11-21;04:00;2.7;0;0.0;Z
484;2018-11-21;05:00;2.6;0;0.0;Z
485;2018-11-21;06:00;3.1;0;0.0;Z
486;2018-11-21;07:00;3.5;0;0.0;Z
487;2018-11-21;08:00;4.4;0;0.0;Z
488;2018-11-21;09:00;4.9;0;0.0;Z
489;2018-11-21;10:00;4.2;0;0.0;Z
490;2018-11-21;11:00;3.3;0;0.6;Z
491;2018-11-21;12:00;2.9;0;1.2;Z
492;2018-11-21;13:00;3.5;0;1.0;Z
493;2018-11-21;14:00;3.8;0;1.2;Z
494;2018-11-21;15:00;3.9;0;0.6;Z
495;2018-11-21;16:00;3.5;0;0.6;Z
496;2018-11-21;17:00;4.3;0;0.0;Z
497;2018-11-21;18:00;4.7;0;0.0;Z
498;2018-11-21;19:00;4.9;0;0.0;Z
499;2018-11-21;20:00;6.1;0;0.0;Z
500;2018-11-21;21:00;5.3;0;0.0;Z
501;2018-11-21;22:00;5.3;0;0.0;Z
502;2018-11-21;23:00;5.8;0;0.0;Z
503;2018-11-22;00:00;5.6;0;0.0;Z
504;2018-11-22;01:00;5.9;0;0.0;Z
505;2018-11-22;02:00;5.3;0;0.0;Z
506;2018-11-22;03:00;5.0;0;0.0;Z
507;2018-11-22;04:00;5.2;0;0.0;Z
508;2018-11-22;05:00;4.9;0;0.0;Z
509;2018-11-22;06:00;4.9;0;0.0;Z
510;2018-11-22;07:00;5.1;0;0.0;Z
511;2018-11-22;08:00;5.8;0;0.0;Z
512;2018-11-22;09:00;7.0;0;0.0;Z
513;2018-11-22;10:00;9.2;0;0.0;Z
514;2018-11-22;11:00;9.7;0;0.0;Z
515;2018-11-22;12:00;8.8;0;0.0;Z
516;2018-11-22;13:00;7.4;0;0.0;Z
517;2018-11-22;14:00;8.0;0;0.0;Z
518;2018-11-22;15:00;7.9;0;0.0;Z
519;2018-11-22;16:00;7.1;0;0.0;Z
520;2018-11-22;17:00;7.7;0;0.0;Z
521;2018-11-22;18:00;7.7;0;0.0;Z
522;2018-11-22;19:00;7.3;0;0.0;Z
523;2018-11-22;20:00;7.3;0;0.0;Z
524;2018-11-22;21:00;7.1;0;0.0;Z
525;2018-11-22;22:00;7.1;0;0.0;Z
526;2018-11-22;23:00;7.4;0;0.0;Z
527;2018-11-23;00:00;6.4;0;0.0;Z
